Model Name,Girder Type,Nb,L,S,w_oh,ts_U,ts_O,fc_deck,fc_girder,rail_left,rail_right,b_rail_left,b_rail_right,o_rail_left,o_rail_right,q_rail_left,q_rail_right,G1 - max_axial,G1 - max_shear,G1 - max_lat_shear,G1 - max_torsion,G1 - max_bm,G1 - max_lat_bm,G2 - max_axial,G2 - max_shear,G2 - max_lat_shear,G2 - max_torsion,G2 - max_bm,G2 - max_lat_bm,G3 - max_axial,G3 - max_shear,G3 - max_lat_shear,G3 - max_torsion,G3 - max_bm,G3 - max_lat_bm,G4 - max_axial,G4 - max_shear,G4 - max_lat_shear,G4 - max_torsion,G4 - max_bm,G4 - max_lat_bm,G1-A1-X,G2-A1-X,G3-A1-X,G4-A1-X,G1-A2-X,G2-A2-X,G3-A2-X,G4-A2-X,G1-A1-Y,G2-A1-Y,G3-A1-Y,G4-A1-Y,G1-A2-Y,G2-A2-Y,G3-A2-Y,G4-A2-Y,G1-A1-Z,G2-A1-Z,G3-A1-Z,G4-A1-Z,G1-A2-Z,G2-A2-Z,G3-A2-Z,G4-A2-Z
Tx34-L_70-Nb_4-S_110-O_30-ts_85,Tx34,4,840,132,36,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,35200.11328,27451.13672,13956.75684,841142.375,5156333,1466857.125,-276.3531799,4874.418945,3740.470703,379036.4688,1901062.25,-1759.25,-23.02495193,172.4189301,10630.70703,45010.80469,178779.9688,730.5,24291.52539,653.75,6016.133789,17556.90625,714.78125,15020,0,0,0,0,0,0,0,0,35615.625,734.984375,-237.4494629,-1113.132446,35615.625,734.984436,-237.4494324,-1113.132446,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_110-O_30-ts_100,Tx34,4,840,132,36,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,29618.8457,26624.28516,12744.28906,828274.375,4917210,1445995.375,-182.6785889,5547.61084,2980.460205,416913.1875,2033528.5,-2144.580078,-22.7719059,514.279541,9336.276367,84648.70313,293801.0625,492.875,20490.87305,965.6444092,5141.910156,42261.5,2194.382324,11314.28125,0,0,0,0,0,0,0,0,35561.48047,901.651062,216.4423218,-1679.544678,35561.48047,901.6509399,216.4423218,-1679.544678,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_110-O_35-ts_85,Tx34,4,840,132,42,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,36444.51953,28352.96289,12636.37891,835470.875,5317649,1047830.75,-281.2625122,4561.431641,4316.293945,389057.625,1812019.125,-1943.175781,-23.06156349,357.636261,10021.37402,41727.84375,130377.8984,757.0175781,23947.41016,697.8034668,6238.131836,14840.51563,568.5356445,12141.5,0,0,0,0,0,0,0,0,36889.76172,-433.5805664,-326.2444458,-1129.907837,36889.76172,-433.5808105,-326.2444458,-1129.907837,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_110-O_35-ts_100,Tx34,4,840,132,42,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,30396.33789,27484.54492,11377.85449,818997.625,5063532.5,1042096.313,-187.666214,5318.490234,3469.758789,429728.7813,1964170.25,-2351.152344,-23.46390724,390.5691528,8649.012695,79889.75781,245514.5313,514.7480469,19984.13867,1032.582886,5315.479004,36798.6875,1989.0625,7689.125,0,0,0,0,0,0,0,0,36846.85156,-256.140564,125.7328186,-1716.417358,36846.85156,-256.140564,125.7328186,-1716.417358,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_120-O_15-ts_85,Tx34,4,840,144,18,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,34405.31641,25361.0332,19840.52539,896816.875,4839511,2942513.5,-241.6366425,5645.439941,3349.353027,333449.4375,2088306.5,-2465.5,-15.09141636,229.0086517,14053.93457,46181.52344,226086.4219,49.55273438,25955.63281,452.8630676,5794.241699,18480.07813,845.144043,29429,0,0,0,0,0,0,0,0,32099.7793,4045.923828,-315.9741516,-829.7015381,32099.7793,4045.923828,-315.9743958,-829.7015381,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_120-O_15-ts_100,Tx34,4,840,144,18,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,30234.88281,24678.45313,18766.27734,900811.25,4642850.5,2895904.75,-212.1626587,6165.767578,3734.529541,365288.75,2177958.5,-2334.5,-14.90045834,629.7352905,12967.18555,75288.13281,336952,-171.5,22836.07813,696.8544922,5039.920898,39002.78125,2001.390625,25652.25,0,0,0,0,0,0,0,0,31989.91602,4231.135254,54.29653931,-1275.321777,31989.91602,4231.135742,54.29653931,-1275.321777,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_120-O_20-ts_85,Tx34,4,840,144,24,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,35053.62109,26240.42578,18802.86133,906233.5625,5003530.5,2641910.25,-242.783432,5138.882813,3099.32959,340012.4063,1988187.375,-2569.25,-15.67107582,125.3298874,13540.63965,42637.76563,182727.5625,132.7675781,25852.42773,478.1536865,6011.049316,16734.6875,700.125,24134.25,0,0,0,0,0,0,0,0,33302.28516,2903.60083,-371.2035217,-834.6574097,33302.28516,2903.60083,-371.2035217,-834.6574097,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_120-O_20-ts_100,Tx34,4,840,144,24,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,30427.4375,25518.4082,17633.18555,903583.625,4791999,2593748.75,-213.9383698,5739.859863,2943.407471,374044.125,2098221.75,-2410.75,-16.42036247,481.2950745,12343.77539,69749.17188,292292.7188,-95.875,22577.12109,740.0665283,5215.164063,35459.8125,1803.208008,19969.5,0,0,0,0,0,0,0,0,33215.51563,3078.589844,2.457427979,-1296.533325,33215.51563,3078.589844,2.457427979,-1296.533325,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_120-O_25-ts_85,Tx34,4,840,144,30,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,35951.17969,27119.43555,17636.05664,908192,5168689,2297643.75,-245.8553314,4695.397949,3440.832275,347119.5,1887212,-2733.46875,-16.06350136,162.7842102,13007.27832,39141.78125,138373.4219,205.25,25691.92969,503.3390808,6238.234863,20494.20313,559.9934082,20444.75,0,0,0,0,0,0,0,0,34499.41016,1778.156128,-439.8813782,-837.6561279,34499.41016,1778.156128,-439.8813782,-837.6561279,0,0,0,0,0,0,0,0
Tx34-L_70-Nb_4-S_120-O_25-ts_100,Tx34,4,840,144,30,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,30882.96094,26361.51563,16391.44531,898494.875,4943034.5,2253770.5,-217.6508636,5349.85498,2783.517334,383258.8125,2017670.5,-2545.375,-17.66523743,335.2675476,11712.5459,64337.85156,246339.8281,-34.41015625,22275.70898,784.5308838,5402.162598,31033.96875,1609.5625,17691.6875,0,0,0,0,0,0,0,0,34428.51172,1958.647949,-72.49533081,-1314.635254,34428.51172,1958.647949,-72.49539185,-1314.635132,0,0,0,0,0,0,0,0
